product_id,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
79,Solex,Touring,medium,large,2083.94,675.03,1970-01-01 00:00:00.000041533
76,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 00:00:00.000041922
46,Solex,Standard,low,medium,1289.85,74.51,1970-01-01 00:00:00.000037668
55,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 00:00:00.000042172
66,Solex,Standard,medium,medium,1163.89,589.27,1970-01-01 00:00:00.000042560
81,Solex,Standard,medium,medium,1151.96,649.49,1970-01-01 00:00:00.000041009
86,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 00:00:00.000038206
32,Giant Bicycles,Standard,medium,medium,642.7,211.37,1970-01-01 00:00:00.000037337
77,Norco Bicycles,Road,medium,large,1240.31,795.1,1970-01-01 00:00:00.000040553
96,Giant Bicycles,Standard,medium,large,1635.3,993.66,1970-01-01 00:00:00.000039427
6,OHM Cycles,Standard,high,medium,227.88,136.73,1970-01-01 00:00:00.000033549
27,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01 00:00:00.000034527
0,Norco Bicycles,Standard,low,medium,363.01,290.41,1970-01-01 00:00:00.000038482
47,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01 00:00:00.000035470
94,Giant Bicycles,Standard,medium,large,1635.3,993.66,1970-01-01 00:00:00.000041434
91,Solex,Standard,medium,medium,100.35,75.26,1970-01-01 00:00:00.000036367
93,OHM Cycles,Standard,high,medium,1458.17,874.9,1970-01-01 00:00:00.000038750
60,Giant Bicycles,Standard,high,small,1977.36,1759.85,1970-01-01 00:00:00.000041848
0,OHM Cycles,Road,high,large,12.01,7.21,1970-01-01 00:00:00.000034244
35,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 00:00:00.000042688
0,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01 00:00:00.000039031
28,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1970-01-01 00:00:00.000042696
86,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 00:00:00.000036367
4,Giant Bicycles,Standard,high,medium,1129.13,677.48,1970-01-01 00:00:00.000038258
38,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 00:00:00.000041167
77,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 00:00:00.000040672
56,OHM Cycles,Standard,medium,medium,183.86,137.9,1970-01-01 00:00:00.000035707
58,OHM Cycles,Standard,medium,medium,912.52,141.4,1970-01-01 00:00:00.000042295
22,WeareA2B,Standard,medium,medium,60.34,45.26,1970-01-01 00:00:00.000033552
50,WeareA2B,Standard,medium,small,175.89,131.92,1970-01-01 00:00:00.000037668
80,OHM Cycles,Touring,low,medium,1073.07,933.84,1970-01-01 00:00:00.000036145
87,Giant Bicycles,Standard,high,medium,1179.0,707.4,1970-01-01 00:00:00.000035667
15,Norco Bicycles,Standard,low,medium,958.74,748.9,1970-01-01 00:00:00.000038693
84,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 00:00:00.000033879
21,Solex,Standard,medium,large,1071.23,380.74,1970-01-01 00:00:00.000040670
0,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 00:00:00.000037626
84,Trek Bicycles,Road,medium,medium,290.62,215.14,1970-01-01 00:00:00.000038339
1,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 00:00:00.000038258
27,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01 00:00:00.000033455
31,WeareA2B,Standard,medium,medium,752.64,205.36,1970-01-01 00:00:00.000034079
0,OHM Cycles,Road,high,large,12.01,7.21,1970-01-01 00:00:00.000040303
62,Solex,Standard,medium,medium,478.16,298.72,1970-01-01 00:00:00.000034143
17,Solex,Standard,high,medium,1024.66,614.8,1970-01-01 00:00:00.000035160
73,Solex,Standard,medium,medium,1945.43,333.18,1970-01-01 00:00:00.000036668
33,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 00:00:00.000036498
86,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 00:00:00.000038482
45,Solex,Standard,medium,medium,441.49,84.99,1970-01-01 00:00:00.000034071
1,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 00:00:00.000040649
80,OHM Cycles,Touring,low,medium,1073.07,933.84,1970-01-01 00:00:00.000038339
49,Trek Bicycles,Road,medium,medium,533.51,400.13,1970-01-01 00:00:00.000037823
95,Giant Bicycles,Standard,medium,large,569.56,528.43,1970-01-01 00:00:00.000037874
0,Solex,Standard,medium,medium,478.16,298.72,1970-01-01 00:00:00.000036146
18,Norco Bicycles,Standard,high,medium,1148.64,689.18,1970-01-01 00:00:00.000042226
4,Giant Bicycles,Standard,high,medium,1129.13,677.48,1970-01-01 00:00:00.000040649
78,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 00:00:00.000038193
89,WeareA2B,Touring,medium,large,1362.99,57.74,1970-01-01 00:00:00.000041434
70,Trek Bicycles,Standard,high,medium,495.72,297.43,1970-01-01 00:00:00.000042105
79,Norco Bicycles,Standard,medium,medium,1555.58,818.01,1970-01-01 00:00:00.000037873
26,WeareA2B,Standard,medium,medium,1992.93,762.63,1970-01-01 00:00:00.000034115
39,Giant Bicycles,Standard,medium,large,1812.75,582.48,1970-01-01 00:00:00.000038991
36,Solex,Standard,low,medium,945.04,507.58,1970-01-01 00:00:00.000035052
0,OHM Cycles,Standard,low,medium,71.16,56.93,1970-01-01 00:00:00.000042172
98,Trek Bicycles,Standard,high,medium,358.39,215.03,1970-01-01 00:00:00.000033364
75,Giant Bicycles,Touring,medium,large,1873.97,863.95,1970-01-01 00:00:00.000037873
76,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 00:00:00.000038482
72,Norco Bicycles,Standard,medium,medium,360.4,270.3,1970-01-01 00:00:00.000040553
42,OHM Cycles,Road,medium,small,1810.0,1610.9,1970-01-01 00:00:00.000034071
20,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1970-01-01 00:00:00.000040303
64,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01 00:00:00.000038647
0,Trek Bicycles,Standard,high,medium,495.72,297.43,1970-01-01 00:00:00.000042105
25,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000033888
24,Solex,Road,medium,large,1777.8,820.78,1970-01-01 00:00:00.000034115
31,WeareA2B,Standard,medium,medium,752.64,205.36,1970-01-01 00:00:00.000042218
98,OHM Cycles,Standard,medium,medium,795.34,101.58,1970-01-01 00:00:00.000035470
22,Solex,Standard,medium,medium,575.27,431.45,1970-01-01 00:00:00.000041345
53,OHM Cycles,Standard,medium,medium,795.34,101.58,1970-01-01 00:00:00.000037823
84,Trek Bicycles,Road,medium,medium,290.62,215.14,1970-01-01 00:00:00.000038482
50,WeareA2B,Standard,medium,small,175.89,131.92,1970-01-01 00:00:00.000042295
44,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 00:00:00.000040672
96,WeareA2B,Road,low,small,1172.78,1043.77,1970-01-01 00:00:00.000037539
93,WeareA2B,Standard,medium,medium,1065.03,230.09,1970-01-01 00:00:00.000037539
78,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 00:00:00.000033429
84,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 00:00:00.000038859
65,WeareA2B,Standard,medium,medium,1807.45,778.69,1970-01-01 00:00:00.000042105
0,N/A,N/A,N/A,N/A,1942.61,619.48,1970-01-01 00:00:00.000035455
29,WeareA2B,Standard,medium,medium,1065.03,230.09,1970-01-01 00:00:00.000036833
32,Giant Bicycles,Standard,high,medium,1179.0,707.4,1970-01-01 00:00:00.000036833
11,Giant Bicycles,Standard,high,medium,1274.93,764.96,1970-01-01 00:00:00.000042560
10,Solex,Standard,medium,medium,1945.43,333.18,1970-01-01 00:00:00.000037499
46,Solex,Standard,low,medium,1289.85,74.51,1970-01-01 00:00:00.000041064
60,Giant Bicycles,Standard,high,small,1977.36,1759.85,1970-01-01 00:00:00.000041047
92,WeareA2B,Touring,medium,large,1890.39,260.14,1970-01-01 00:00:00.000033259
7,Trek Bicycles,Road,low,medium,980.37,234.43,1970-01-01 00:00:00.000038693
41,Solex,Road,medium,medium,416.98,312.74,1970-01-01 00:00:00.000035560
67,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01 00:00:00.000038647
14,Trek Bicycles,Standard,medium,small,1386.84,1234.29,1970-01-01 00:00:00.000037838
9,OHM Cycles,Road,medium,medium,742.54,667.4,1970-01-01 00:00:00.000034586
31,Giant Bicycles,Standard,medium,medium,230.91,173.18,1970-01-01 00:00:00.000037698
92,WeareA2B,Standard,medium,small,1415.01,1259.36,1970-01-01 00:00:00.000036833
3,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 00:00:00.000040784
56,Norco Bicycles,Mountain,low,small,688.63,612.88,1970-01-01 00:00:00.000042404
14,Solex,Standard,high,large,1842.92,1105.75,1970-01-01 00:00:00.000037873
6,Solex,Standard,high,medium,748.17,448.9,1970-01-01 00:00:00.000042105
50,WeareA2B,Standard,medium,small,175.89,131.92,1970-01-01 00:00:00.000039915
10,WeareA2B,Touring,medium,medium,1466.68,363.25,1970-01-01 00:00:00.000041345
0,N/A,N/A,N/A,N/A,1656.86,1479.11,1970-01-01 00:00:00.000037668
69,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 00:00:00.000042105
80,OHM Cycles,Touring,low,medium,1073.07,933.84,1970-01-01 00:00:00.000042226
17,Solex,Standard,high,medium,1024.66,614.8,1970-01-01 00:00:00.000035378
3,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 00:00:00.000038573
90,Norco Bicycles,Standard,low,medium,363.01,290.41,1970-01-01 00:00:00.000038482
97,Solex,Standard,medium,large,202.62,151.96,1970-01-01 00:00:00.000038002
6,OHM Cycles,Standard,high,medium,227.88,136.73,1970-01-01 00:00:00.000037838
100,Norco Bicycles,Road,medium,medium,1036.59,206.35,1970-01-01 00:00:00.000033364
55,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 00:00:00.000033259
10,WeareA2B,Touring,medium,medium,1466.68,363.25,1970-01-01 00:00:00.000034586
25,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000042696
74,WeareA2B,Standard,medium,medium,1228.07,400.91,1970-01-01 00:00:00.000037873
17,Solex,Standard,high,medium,1024.66,614.8,1970-01-01 00:00:00.000040670
16,Norco Bicycles,Standard,high,small,1661.92,1479.11,1970-01-01 00:00:00.000041345
71,Solex,Standard,high,large,1842.92,1105.75,1970-01-01 00:00:00.000034996
91,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 00:00:00.000038193
1,Giant Bicycles,Touring,medium,large,1873.97,863.95,1970-01-01 00:00:00.000037873
3,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 00:00:00.000041167
56,OHM Cycles,Standard,medium,medium,183.86,137.9,1970-01-01 00:00:00.000034143
37,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 00:00:00.000040672
34,Norco Bicycles,Road,high,large,774.53,464.72,1970-01-01 00:00:00.000039526
0,Giant Bicycles,Standard,medium,medium,230.91,173.18,1970-01-01 00:00:00.000039031
12,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 00:00:00.000039880
25,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000040553
81,Norco Bicycles,Standard,medium,small,586.45,521.94,1970-01-01 00:00:00.000033429
19,OHM Cycles,Road,high,large,12.01,7.21,1970-01-01 00:00:00.000036334
74,WeareA2B,Standard,medium,medium,1762.96,950.52,1970-01-01 00:00:00.000041848
57,WeareA2B,Touring,medium,large,1890.39,260.14,1970-01-01 00:00:00.000034143
0,Trek Bicycles,Road,medium,medium,533.51,400.13,1970-01-01 00:00:00.000041064
23,Norco Bicycles,Mountain,low,small,688.63,612.88,1970-01-01 00:00:00.000039031
5,Giant Bicycles,Standard,high,medium,1129.13,677.48,1970-01-01 00:00:00.000038573
51,OHM Cycles,Standard,high,medium,2005.66,1203.4,1970-01-01 00:00:00.000041009
59,WeareA2B,Standard,medium,small,1415.01,1259.36,1970-01-01 00:00:00.000037626
63,Solex,Standard,medium,medium,1483.2,99.59,1970-01-01 00:00:00.000033879
40,OHM Cycles,Standard,high,medium,1458.17,874.9,1970-01-01 00:00:00.000038750
80,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01 00:00:00.000038647
82,Norco Bicycles,Standard,high,medium,1148.64,689.18,1970-01-01 00:00:00.000042226
46,Solex,Standard,low,medium,1289.85,74.51,1970-01-01 00:00:00.000041009
75,Giant Bicycles,Touring,medium,large,1873.97,863.95,1970-01-01 00:00:00.000038193
40,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 00:00:00.000037823
2,Giant Bicycles,Road,low,small,590.26,525.33,1970-01-01 00:00:00.000040487
8,Solex,Road,medium,small,1703.52,1516.13,1970-01-01 00:00:00.000040649
69,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 00:00:00.000033879
8,Solex,Road,medium,small,1703.52,1516.13,1970-01-01 00:00:00.000034079
13,Solex,Standard,medium,medium,1163.89,589.27,1970-01-01 00:00:00.000041345
19,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01 00:00:00.000040784
86,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 00:00:00.000041434
46,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 00:00:00.000036361
30,Solex,Standard,high,medium,748.17,448.9,1970-01-01 00:00:00.000036361
7,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 00:00:00.000037698
23,Norco Bicycles,Mountain,low,small,688.63,612.88,1970-01-01 00:00:00.000034244
12,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 00:00:00.000034586
61,OHM Cycles,Standard,low,medium,71.16,56.93,1970-01-01 00:00:00.000042145
21,Solex,Standard,medium,large,1071.23,380.74,1970-01-01 00:00:00.000033552
86,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 00:00:00.000037626
57,WeareA2B,Touring,medium,large,1890.39,260.14,1970-01-01 00:00:00.000036146
63,Solex,Standard,medium,medium,1483.2,99.59,1970-01-01 00:00:00.000036146
63,WeareA2B,Standard,medium,medium,1992.93,762.63,1970-01-01 00:00:00.000034115
33,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 00:00:00.000040336
98,OHM Cycles,Standard,medium,medium,795.34,101.58,1970-01-01 00:00:00.000042172
15,Norco Bicycles,Standard,low,medium,958.74,748.9,1970-01-01 00:00:00.000039880
48,WeareA2B,Standard,medium,medium,1762.96,950.52,1970-01-01 00:00:00.000035470
63,Solex,Standard,medium,medium,1483.2,99.59,1970-01-01 00:00:00.000042145
78,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 00:00:00.000041533
67,Solex,Standard,medium,large,1071.23,380.74,1970-01-01 00:00:00.000036334
13,Solex,Standard,medium,medium,1577.53,826.51,1970-01-01 00:00:00.000040618
65,WeareA2B,Standard,medium,medium,1807.45,778.69,1970-01-01 00:00:00.000042145
49,Trek Bicycles,Road,medium,medium,533.51,400.13,1970-01-01 00:00:00.000041064
31,Giant Bicycles,Standard,medium,medium,230.91,173.18,1970-01-01 00:00:00.000040618
17,Solex,Standard,high,medium,1024.66,614.8,1970-01-01 00:00:00.000039880
53,OHM Cycles,Standard,medium,medium,795.34,101.58,1970-01-01 00:00:00.000036668
38,Solex,Standard,medium,medium,1577.53,826.51,1970-01-01 00:00:00.000034170
69,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 00:00:00.000041922
68,OHM Cycles,Standard,medium,medium,1636.9,44.71,1970-01-01 00:00:00.000040410
11,Giant Bicycles,Standard,high,medium,1274.93,764.96,1970-01-01 00:00:00.000041345
2,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 00:00:00.000038573
0,Trek Bicycles,Standard,high,medium,358.39,215.03,1970-01-01 00:00:00.000038002
81,Solex,Standard,medium,medium,1151.96,649.49,1970-01-01 00:00:00.000035470
6,OHM Cycles,Standard,high,medium,227.88,136.73,1970-01-01 00:00:00.000041701
18,Solex,Standard,medium,medium,575.27,431.45,1970-01-01 00:00:00.000034244
18,Norco Bicycles,Standard,high,medium,1148.64,689.18,1970-01-01 00:00:00.000036145
9,OHM Cycles,Road,medium,medium,742.54,667.4,1970-01-01 00:00:00.000033549
93,WeareA2B,Standard,medium,medium,1065.03,230.09,1970-01-01 00:00:00.000042458
44,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 00:00:00.000041064
48,WeareA2B,Standard,medium,medium,1762.96,950.52,1970-01-01 00:00:00.000041848
56,OHM Cycles,Standard,medium,medium,183.86,137.9,1970-01-01 00:00:00.000034170
36,Solex,Standard,low,medium,1289.85,74.51,1970-01-01 00:00:00.000041064
36,Solex,Standard,low,medium,945.04,507.58,1970-01-01 00:00:00.000038750
13,Solex,Standard,medium,medium,1163.89,589.27,1970-01-01 00:00:00.000034586
55,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 00:00:00.000034170
38,Solex,Standard,medium,medium,1577.53,826.51,1970-01-01 00:00:00.000040672
64,Giant Bicycles,Standard,high,small,1977.36,1759.85,1970-01-01 00:00:00.000042172
0,OHM Cycles,Standard,high,medium,227.88,136.73,1970-01-01 00:00:00.000039298
11,Giant Bicycles,Standard,high,medium,1274.93,764.96,1970-01-01 00:00:00.000039298
91,Solex,Standard,medium,medium,100.35,75.26,1970-01-01 00:00:00.000037874
18,Solex,Standard,medium,medium,575.27,431.45,1970-01-01 00:00:00.000041345
13,Solex,Standard,medium,medium,1163.89,589.27,1970-01-01 00:00:00.000042560
4,Giant Bicycles,Standard,high,medium,1129.13,677.48,1970-01-01 00:00:00.000038216
78,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 00:00:00.000035455
42,OHM Cycles,Road,medium,small,1810.0,1610.9,1970-01-01 00:00:00.000036498
12,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 00:00:00.000042560
25,OHM Cycles,Standard,high,medium,2005.66,1203.4,1970-01-01 00:00:00.000042295
7,Trek Bicycles,Road,low,medium,980.37,234.43,1970-01-01 00:00:00.000038258
81,Solex,Standard,medium,medium,1151.96,649.49,1970-01-01 00:00:00.000036498
6,OHM Cycles,Standard,high,medium,227.88,136.73,1970-01-01 00:00:00.000039298
62,Solex,Standard,medium,medium,478.16,298.72,1970-01-01 00:00:00.000042105
90,Norco Bicycles,Standard,low,medium,363.01,290.41,1970-01-01 00:00:00.000036367
32,Giant Bicycles,Standard,medium,medium,642.7,211.37,1970-01-01 00:00:00.000033888
65,WeareA2B,Standard,medium,medium,1807.45,778.69,1970-01-01 00:00:00.000037499
36,Solex,Standard,low,medium,945.04,507.58,1970-01-01 00:00:00.000039526
87,OHM Cycles,Standard,medium,medium,1636.9,44.71,1970-01-01 00:00:00.000040410
62,Solex,Standard,medium,medium,478.16,298.72,1970-01-01 00:00:00.000033879
55,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 00:00:00.000034143
1,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 00:00:00.000041167
61,Norco Bicycles,Standard,medium,small,586.45,521.94,1970-01-01 00:00:00.000033429
71,Solex,Standard,high,large,1842.92,1105.75,1970-01-01 00:00:00.000038859
58,OHM Cycles,Road,medium,medium,1280.28,829.51,1970-01-01 00:00:00.000037220
86,Norco Bicycles,Road,high,large,774.53,464.72,1970-01-01 00:00:00.000036361
55,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 00:00:00.000037823
82,Norco Bicycles,Standard,high,medium,1148.64,689.18,1970-01-01 00:00:00.000041533
32,Giant Bicycles,Standard,medium,medium,642.7,211.37,1970-01-01 00:00:00.000037698
1,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 00:00:00.000038573
24,Solex,Road,medium,large,1777.8,820.78,1970-01-01 00:00:00.000040670
7,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 00:00:00.000033888
59,Solex,Standard,medium,large,1061.56,733.58,1970-01-01 00:00:00.000034170
34,Norco Bicycles,Road,high,large,774.53,464.72,1970-01-01 00:00:00.000035052
83,Solex,Touring,medium,large,2083.94,675.03,1970-01-01 00:00:00.000041533
82,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000034115
69,Norco Bicycles,Road,medium,large,1240.31,795.1,1970-01-01 00:00:00.000040553
7,Trek Bicycles,Road,low,medium,980.37,234.43,1970-01-01 00:00:00.000041701
73,Solex,Standard,medium,medium,1945.43,333.18,1970-01-01 00:00:00.000037499
39,Giant Bicycles,Standard,medium,large,1812.75,582.48,1970-01-01 00:00:00.000039427
0,N/A,N/A,N/A,N/A,850.89,101.58,1970-01-01 00:00:00.000038002
25,OHM Cycles,Standard,high,medium,2005.66,1203.4,1970-01-01 00:00:00.000041009
32,Giant Bicycles,Standard,high,medium,1179.0,707.4,1970-01-01 00:00:00.000041434
56,OHM Cycles,Standard,medium,medium,183.86,137.9,1970-01-01 00:00:00.000041047
17,WeareA2B,Touring,medium,large,1362.99,57.74,1970-01-01 00:00:00.000034079
0,Solex,Standard,medium,medium,478.16,298.72,1970-01-01 00:00:00.000041245
53,OHM Cycles,Standard,medium,medium,795.34,101.58,1970-01-01 00:00:00.000035470
20,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1970-01-01 00:00:00.000042404
83,Solex,Touring,medium,large,2083.94,675.03,1970-01-01 00:00:00.000042218
39,Giant Bicycles,Standard,medium,large,1812.75,582.48,1970-01-01 00:00:00.000040672
67,Solex,Standard,medium,large,1071.23,380.74,1970-01-01 00:00:00.000035160
40,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 00:00:00.000034143
13,Solex,Standard,medium,medium,1163.89,589.27,1970-01-01 00:00:00.000038693
35,Trek Bicycles,Standard,low,medium,1057.51,154.4,1970-01-01 00:00:00.000040336
79,Norco Bicycles,Standard,medium,medium,1555.58,818.01,1970-01-01 00:00:00.000039298
86,Norco Bicycles,Road,high,large,774.53,464.72,1970-01-01 00:00:00.000035707
9,OHM Cycles,Road,medium,medium,742.54,667.4,1970-01-01 00:00:00.000041701
58,OHM Cycles,Road,medium,medium,1280.28,829.51,1970-01-01 00:00:00.000035707
43,Solex,Standard,medium,medium,1151.96,649.49,1970-01-01 00:00:00.000036498
88,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1970-01-01 00:00:00.000036833
83,Solex,Touring,medium,large,2083.94,675.03,1970-01-01 00:00:00.000038206
0,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 00:00:00.000037659
82,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000033455
88,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1970-01-01 00:00:00.000034079
67,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01 00:00:00.000039298
0,N/A,N/A,N/A,N/A,710.59,649.2266666666666,1970-01-01 00:00:00.000033879
18,Solex,Standard,medium,medium,575.27,431.45,1970-01-01 00:00:00.000038339
23,Norco Bicycles,Mountain,low,small,688.63,612.88,1970-01-01 00:00:00.000040670
82,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000040553
20,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1970-01-01 00:00:00.000034115
65,WeareA2B,Standard,medium,medium,1807.45,778.69,1970-01-01 00:00:00.000034115
76,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 00:00:00.000033429
17,Solex,Standard,high,medium,1024.66,614.8,1970-01-01 00:00:00.000042404
39,Giant Bicycles,Standard,medium,large,1812.75,582.48,1970-01-01 00:00:00.000040336
34,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 00:00:00.000038216
97,OHM Cycles,Road,medium,medium,742.54,667.4,1970-01-01 00:00:00.000041701
